,source,target
1387,th ellow vaiety is the strongest and has the least sgar,the yellow variety is the strongest and has the least sugar
1388,richards died of a heat attack soon after hi arrival,richards died of a heart attack soon after his arrival
1389,three men re standing o a stage oe is weaing clon makeup and holdig  guitar,three men are standing on a stage one is wearing clown makeup and holding a guitar
1390,he is buried in elmwood cemetey in detrot,he is buried in elmwood cemetery in detroit
1391,after a period of pace the cycle recurs,after a period of peace the cycle recurs
1392,the term just my two cents is about opinion not abot money,the term just my two cents is about opinion not about money
1393,the nae originates in the arabic cifr,the name originates in the arabic cifr
1394,muirhead one was bor in glasgow,muirhead bone was born in glasgow
1395, provincial park reseve borders th northrn edge of th community at secon lake,a provincial park reserve borders the northern edge of the community at second lake
1396,were going o paris for our honeymoon,were going to paris for our honeymoon
1397,khn krum ordered te vineyards replanted,khan krum ordered the vineyards replanted
1398,the door was pen,the door was open
1399,ni s a known anticommunist,ni is a known anticommunist
1400,and now down there eilen as waiting for him,and now down there eileen was waiting for him
1401,a little boy and girl i their swimsuts wearing am floats,a little boy and girl in their swimsuits wearing arm floats
1402,withut the amulet alyssa will becom mr btes if provoked with fear,without the amulet alyssa will become mr bates if provoked with fear
1403,two cyclists are racing n  country road,two cyclists are racing on a country road
1404,party of six this wek n oman,party of six this week in oman
1405,ruaul and matha wash duetted on its raining en,rupaul and martha wash duetted on its raining men
1406,arbuthnot nd o which faied was considered the sundest o the three,arbuthnot and co which failed was considered the soundest of the three
1407,it has  dual overhea cam engine,it has a dual overhead cam engine
1408,the gothic statue alled the diógyőr madonna cn also be seen here,the gothic statue called the diósgyőr madonna can also be seen here
1409,a man stands on stilts while hildren wach,a man stands on stilts while children watch
1410, black man smoking  cigarette is n front of  government typ builing,a black man smoking a cigarette is in front of a government type building
1411,a person sleeping with  ewspaper,a person sleeping with a newspaper
1412,original music score as by kenneth jones,original music score was by kenneth jones
1413,there are watr shortages particularly n th north,there are water shortages particularly in the north
1414,its like comparing one band t another band,its like comparing one band to another band
1415,the dry wax rotects the dep scratch,the dry wax protects the deep scratch
1416,he is not o blame,he is not to blame
1417,what are you oing tonight,what are you doing tonight
1418,late he becme parsons deputy for the guntype fission weapon,later he became parsons deputy for the guntype fission weapon
